epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.32173,1.60596,2.96251,1.25191,0.00388,0.90909,0.21246,0.09879,1.59694,3.48743,1.10651,0.00042,0.00042,0.00042
2,9.16281,1.51987,1.67445,1.14731,0.00375,0.95455,0.12557,0.0365,1.58819,3.39536,1.14613,0.000851486,0.000851486,0.000851486
3,13.0154,1.64145,1.48202,1.23531,0.00662,0.40909,0.23902,0.07857,1.64262,3.15263,1.30688,0.00127426,0.00127426,0.00127426
4,16.8222,1.59166,1.4431,1.27762,0.54628,0.29545,0.40412,0.19059,1.74165,2.42528,1.41472,0.00168832,0.00168832,0.00168832
5,20.468,1.482,1.33489,1.18574,0.50404,0.22727,0.32812,0.16328,1.71093,2.63623,1.38148,0.0019208,0.0019208,0.0019208
6,24.1923,1.52571,1.28554,1.25217,0.61937,0.63636,0.62632,0.29461,1.61875,1.83301,1.33858,0.001901,0.001901,0.001901
7,27.9505,1.5592,1.23566,1.20944,0.71854,0.69636,0.74547,0.34523,1.70677,1.79179,1.41783,0.0018812,0.0018812,0.0018812
8,32.3368,1.49938,1.18507,1.20052,0.67177,0.65909,0.61015,0.31618,1.66127,1.69165,1.32381,0.0018614,0.0018614,0.0018614
9,36.0108,1.42848,1.12241,1.18398,0.84976,0.77131,0.80629,0.37852,1.66793,3.59077,1.31878,0.0018416,0.0018416,0.0018416
10,39.7753,1.4963,1.14569,1.26469,0.7582,0.84091,0.80095,0.38324,1.74263,2.03107,1.38881,0.0018218,0.0018218,0.0018218
11,43.6429,1.43719,1.06015,1.1648,0.88134,0.77273,0.85178,0.43382,1.67411,1.84548,1.35086,0.001802,0.001802,0.001802
12,47.5033,1.37918,0.99467,1.14953,0.83112,0.81818,0.87226,0.43435,1.60179,1.23704,1.25118,0.0017822,0.0017822,0.0017822
13,51.3906,1.34252,0.99983,1.16221,0.73429,0.77273,0.79705,0.39342,1.71464,1.20202,1.30175,0.0017624,0.0017624,0.0017624
14,55.3273,1.37361,0.96068,1.15172,0.793,0.78373,0.73511,0.37152,1.69156,1.16213,1.33423,0.0017426,0.0017426,0.0017426
15,59.2307,1.32716,0.92777,1.14613,0.82249,0.73727,0.7891,0.40979,1.64308,1.11609,1.28268,0.0017228,0.0017228,0.0017228
16,63.5468,1.305,0.90674,1.11605,0.85409,0.81818,0.85995,0.46211,1.68967,0.99014,1.34306,0.001703,0.001703,0.001703
17,67.5554,1.30389,0.91035,1.13851,0.87496,0.84091,0.89376,0.47633,1.61397,1.05612,1.38001,0.0016832,0.0016832,0.0016832
18,73.807,1.30136,0.88859,1.14617,0.80507,0.90909,0.88447,0.45592,1.5866,1.05539,1.3397,0.0016634,0.0016634,0.0016634
19,77.5221,1.29877,0.87055,1.10401,0.77741,0.87325,0.84815,0.46586,1.56728,0.9556,1.2591,0.0016436,0.0016436,0.0016436
20,81.2967,1.31579,0.85822,1.11861,0.84795,0.86364,0.90561,0.4918,1.47072,0.99917,1.19927,0.0016238,0.0016238,0.0016238
21,85.1214,1.24218,0.83749,1.09178,0.87173,0.92681,0.92439,0.50281,1.47612,0.95517,1.25801,0.001604,0.001604,0.001604
22,89.1733,1.26403,0.84134,1.09377,0.86698,0.93182,0.92767,0.48134,1.62212,0.9331,1.30532,0.0015842,0.0015842,0.0015842
23,93.0654,1.25019,0.79928,1.08713,0.89003,0.86364,0.93381,0.453,1.71923,1.05294,1.31056,0.0015644,0.0015644,0.0015644
24,97.13,1.28331,0.82368,1.09468,0.83915,0.94864,0.90301,0.47393,1.55771,0.9374,1.27319,0.0015446,0.0015446,0.0015446
25,101.06,1.24102,0.81357,1.1135,0.8298,0.88643,0.90865,0.45334,1.54515,0.99162,1.24799,0.0015248,0.0015248,0.0015248
26,105.051,1.16814,0.77189,1.06828,0.89764,0.88636,0.9139,0.46805,1.57942,0.9028,1.27388,0.001505,0.001505,0.001505
27,108.834,1.20701,0.77052,1.08434,0.82453,0.88636,0.8641,0.45133,1.63933,0.88524,1.2861,0.0014852,0.0014852,0.0014852
28,112.71,1.16218,0.73169,1.06258,0.82662,0.90909,0.86099,0.46388,1.57769,0.88278,1.21703,0.0014654,0.0014654,0.0014654
