epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.34799,1.72424,3.54795,1.36938,0.00277,0.81818,0.09401,0.0311,1.56639,3.56938,1.08594,0.0002,0.0002,0.0002
2,7.7157,1.41468,2.26529,1.09563,0.00296,0.88636,0.39769,0.16834,1.55952,3.34523,1.05224,0.000415842,0.000415842,0.000415842
3,10.7496,1.52052,1.5231,1.13502,0.00303,0.88636,0.19335,0.09021,1.4569,3.34692,1.11507,0.000627328,0.000627328,0.000627328
4,13.7378,1.49622,1.34294,1.15193,0.00331,0.93182,0.18854,0.07225,1.52426,3.35981,1.19206,0.000834458,0.000834458,0.000834458
5,17.2884,1.41714,1.27985,1.14889,0.00318,0.95455,0.0149,0.00618,1.56503,3.24464,1.28848,0.00103723,0.00103723,0.00103723
6,20.3675,1.41406,1.25168,1.16719,0.83939,0.27273,0.28237,0.12259,1.64509,3.02902,1.28307,0.00123565,0.00123565,0.00123565
7,23.4564,1.40354,1.22233,1.13129,0.20436,0.13636,0.09822,0.04835,1.62107,3.01596,1.33156,0.00142971,0.00142971,0.00142971
8,26.5823,1.40315,1.21347,1.13639,0.16983,0.22323,0.12009,0.04692,1.78795,2.80053,1.50216,0.00161942,0.00161942,0.00161942
9,29.5996,1.50323,1.20259,1.1861,0.45958,0.36364,0.41632,0.17975,1.91839,2.49984,1.52412,0.00180477,0.00180477,0.00180477
10,32.7998,1.48252,1.20413,1.17311,0.23819,0.15909,0.13813,0.06738,1.94882,2.84539,1.53632,0.0018218,0.0018218,0.0018218
11,35.821,1.44557,1.1556,1.1772,0.77319,0.52273,0.62593,0.30958,1.84788,2.00508,1.47016,0.001802,0.001802,0.001802
12,38.696,1.40735,1.113,1.15054,0.4503,0.47727,0.45824,0.19844,1.82394,2.07046,1.48464,0.0017822,0.0017822,0.0017822
13,41.6449,1.38859,1.05699,1.13568,0.84747,0.72727,0.76439,0.35829,1.84508,1.5091,1.69097,0.0017624,0.0017624,0.0017624
14,44.6961,1.37681,1.03669,1.14463,0.82459,0.86364,0.8588,0.45828,1.5227,1.62462,1.48903,0.0017426,0.0017426,0.0017426
15,47.6597,1.35123,0.98815,1.13133,0.86055,0.70132,0.81753,0.42458,1.6084,1.41352,1.41766,0.0017228,0.0017228,0.0017228
16,50.5764,1.38613,1.01369,1.13676,0.81309,0.77273,0.80969,0.40063,1.65792,1.36052,1.42721,0.001703,0.001703,0.001703
17,53.5727,1.4247,1.00204,1.12543,0.80174,0.77273,0.79855,0.41257,1.67367,1.36652,1.30334,0.0016832,0.0016832,0.0016832
18,56.5875,1.38637,0.96338,1.1233,0.76427,0.75,0.83548,0.43984,1.63158,1.20164,1.2626,0.0016634,0.0016634,0.0016634
19,59.5408,1.34848,0.93172,1.10597,0.84185,0.84693,0.87396,0.44707,1.6339,1.1517,1.23058,0.0016436,0.0016436,0.0016436
20,62.6479,1.3451,0.91211,1.10259,0.7963,0.84091,0.81706,0.38492,1.6447,1.1189,1.28952,0.0016238,0.0016238,0.0016238
21,65.5154,1.36565,0.89006,1.1216,0.55675,0.43182,0.48542,0.21616,2.0335,2.06758,1.50431,0.001604,0.001604,0.001604
22,68.4632,1.32127,0.88226,1.11134,0.86168,0.84959,0.89337,0.49999,1.45274,0.91516,1.27498,0.0015842,0.0015842,0.0015842
23,71.3911,1.36223,0.8731,1.09926,0.7689,0.81818,0.82043,0.39161,1.59924,1.0498,1.33003,0.0015644,0.0015644,0.0015644
24,74.3451,1.30499,0.87592,1.09803,0.80382,0.86364,0.86197,0.41125,1.64925,1.03257,1.34177,0.0015446,0.0015446,0.0015446
25,77.2779,1.29444,0.85312,1.10352,0.90618,0.87818,0.90498,0.42865,1.65508,0.99935,1.34117,0.0015248,0.0015248,0.0015248
26,80.1882,1.26206,0.80546,1.08022,0.82391,0.86364,0.84133,0.46428,1.67087,1.04529,1.41558,0.001505,0.001505,0.001505
27,83.0485,1.2698,0.82354,1.07935,0.9064,0.88041,0.86895,0.46444,1.56107,0.95258,1.29076,0.0014852,0.0014852,0.0014852
28,85.9981,1.25047,0.80695,1.0674,0.82105,0.86364,0.86326,0.46192,1.57521,0.95456,1.28947,0.0014654,0.0014654,0.0014654
29,88.9429,1.28049,0.82275,1.08307,0.84166,0.86364,0.82208,0.45669,1.50024,1.0329,1.29341,0.0014456,0.0014456,0.0014456
30,91.9,1.29294,0.80804,1.08655,0.79534,0.88326,0.83809,0.45851,1.50401,0.99207,1.26893,0.0014258,0.0014258,0.0014258
31,94.8197,1.25159,0.78297,1.09631,0.83413,0.86364,0.85456,0.44444,1.54207,1.12598,1.29239,0.001406,0.001406,0.001406
32,97.8061,1.23752,0.76179,1.0736,0.88604,0.88636,0.88901,0.52004,1.43935,0.86953,1.2689,0.0013862,0.0013862,0.0013862
33,100.697,1.21001,0.75263,1.08028,0.81428,0.86364,0.841,0.45085,1.57388,0.90343,1.32353,0.0013664,0.0013664,0.0013664
34,103.71,1.23721,0.76783,1.09106,0.87731,0.81267,0.82046,0.4568,1.5783,0.89107,1.2973,0.0013466,0.0013466,0.0013466
35,106.636,1.2597,0.78332,1.08866,0.88373,0.68182,0.78139,0.40986,1.64395,1.0422,1.31956,0.0013268,0.0013268,0.0013268
36,109.636,1.19233,0.74872,1.06319,0.92428,0.83238,0.87947,0.50441,1.45861,0.85307,1.25478,0.001307,0.001307,0.001307
