epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.485,1.12948,0.68111,1.06903,0.82498,0.85711,0.82156,0.42813,1.54869,0.95665,1.36311,0.0011882,0.0011882,0.0011882
43,123.325,1.14464,0.67157,1.05954,0.87204,0.86364,0.87924,0.51432,1.41483,0.7574,1.32474,0.0011684,0.0011684,0.0011684
44,126.248,1.17831,0.68851,1.07403,0.91097,0.86364,0.91238,0.48934,1.45083,0.83459,1.30431,0.0011486,0.0011486,0.0011486
45,129.123,1.10747,0.66701,1.03748,0.91911,0.88636,0.90868,0.47714,1.48401,0.74593,1.33111,0.0011288,0.0011288,0.0011288
46,132.041,1.16513,0.70051,1.04822,0.85978,0.84091,0.81299,0.46539,1.51038,0.79737,1.34945,0.001109,0.001109,0.001109
47,134.907,1.0974,0.67153,1.07308,0.86947,0.90836,0.89003,0.4993,1.42228,0.75,1.30049,0.0010892,0.0010892,0.0010892
48,137.835,1.14105,0.66846,1.06021,0.94416,0.88636,0.91461,0.52223,1.4515,0.77252,1.24903,0.0010694,0.0010694,0.0010694
49,140.682,1.15472,0.67897,1.07348,0.90837,0.9013,0.903,0.51977,1.45571,0.74818,1.26519,0.0010496,0.0010496,0.0010496
50,143.602,1.13336,0.665,1.05026,0.90093,0.88636,0.87852,0.48411,1.54642,0.7997,1.29171,0.0010298,0.0010298,0.0010298
51,146.478,1.09576,0.66187,1.06901,0.93016,0.90806,0.89026,0.53404,1.42701,0.78595,1.20735,0.00101,0.00101,0.00101
52,149.38,1.14538,0.65615,1.06744,0.90796,0.89694,0.89598,0.49342,1.47426,0.79671,1.25387,0.0009902,0.0009902,0.0009902
53,152.283,1.11907,0.6437,1.03717,0.88209,0.86364,0.85478,0.4795,1.41362,0.77312,1.23885,0.0009704,0.0009704,0.0009704
54,155.307,1.08435,0.64705,1.03307,0.90843,0.90199,0.89376,0.48689,1.55345,0.80433,1.29976,0.0009506,0.0009506,0.0009506
55,158.272,1.10686,0.6419,1.03255,0.84784,0.86364,0.8716,0.49056,1.47432,0.80859,1.26568,0.0009308,0.0009308,0.0009308
56,161.234,1.04986,0.63612,1.03433,0.90691,0.86364,0.91005,0.51131,1.3894,0.77469,1.25825,0.000911,0.000911,0.000911
57,164.121,1.10452,0.64603,1.06457,0.929,0.90909,0.92515,0.53497,1.42872,0.75242,1.23075,0.0008912,0.0008912,0.0008912
58,167.042,1.07613,0.62328,1.0307,0.94147,0.88636,0.9117,0.5082,1.45724,0.83178,1.24824,0.0008714,0.0008714,0.0008714
59,169.931,1.07159,0.61371,1.02991,0.89149,0.86364,0.88048,0.52243,1.41079,0.78924,1.22607,0.0008516,0.0008516,0.0008516
60,172.875,1.09508,0.63781,1.05344,0.88946,0.81818,0.84169,0.47187,1.51833,0.8071,1.39544,0.0008318,0.0008318,0.0008318
61,175.75,1.04717,0.61416,1.02077,0.94985,0.86105,0.89738,0.50356,1.44413,0.76681,1.30984,0.000812,0.000812,0.000812
62,178.689,1.07762,0.62544,1.01969,0.82432,0.86364,0.86425,0.49642,1.47108,0.77554,1.31275,0.0007922,0.0007922,0.0007922
63,181.608,0.99235,0.59599,1.01295,0.85377,0.84091,0.85426,0.53136,1.38793,0.74578,1.28962,0.0007724,0.0007724,0.0007724
64,184.531,1.01164,0.59551,1.03355,0.86115,0.84578,0.87059,0.53636,1.40033,0.73635,1.26599,0.0007526,0.0007526,0.0007526
65,187.4,1.02717,0.6096,0.99881,0.86073,0.86364,0.84331,0.47291,1.56264,0.80365,1.33832,0.0007328,0.0007328,0.0007328
66,190.324,1.00946,0.58619,1.01075,0.91397,0.81818,0.86199,0.50643,1.48852,0.75498,1.3199,0.000713,0.000713,0.000713
67,193.203,1.01892,0.58029,1.0176,0.87373,0.86364,0.88887,0.53415,1.4224,0.74224,1.26456,0.0006932,0.0006932,0.0006932
68,196.099,1.03576,0.59131,1.01539,0.88676,0.84091,0.89332,0.51997,1.44332,0.76142,1.2634,0.0006734,0.0006734,0.0006734
69,198.973,0.98396,0.55781,1.00794,0.84889,0.84091,0.84649,0.4949,1.44971,0.78981,1.29655,0.0006536,0.0006536,0.0006536
70,201.938,0.98363,0.5696,1.00146,0.89333,0.79545,0.83328,0.50168,1.40701,0.76792,1.26311,0.0006338,0.0006338,0.0006338
71,204.895,0.99419,0.57768,1.01574,0.89675,0.77273,0.83685,0.50703,1.42666,0.78086,1.26079,0.000614,0.000614,0.000614
72,207.862,0.95974,0.55636,0.97735,0.84193,0.84745,0.83987,0.51132,1.41348,0.76486,1.26836,0.0005942,0.0005942,0.0005942
73,210.781,0.97984,0.56215,0.99734,0.90468,0.86286,0.89502,0.50876,1.42132,0.75475,1.24549,0.0005744,0.0005744,0.0005744
74,213.751,0.93897,0.56229,0.98825,0.89524,0.77698,0.8665,0.50202,1.37721,0.75969,1.24873,0.0005546,0.0005546,0.0005546
75,216.632,0.93296,0.55462,0.98735,0.89948,0.81353,0.84552,0.51203,1.46228,0.81938,1.26045,0.0005348,0.0005348,0.0005348
76,219.612,0.99971,0.57508,1.01382,0.79017,0.85596,0.86339,0.49915,1.35635,0.75148,1.2648,0.000515,0.000515,0.000515
77,222.518,0.95613,0.56565,0.99112,0.9306,0.79545,0.87684,0.5303,1.35437,0.73212,1.24492,0.0004952,0.0004952,0.0004952
78,225.488,0.94195,0.54337,1.00525,0.83997,0.86364,0.86576,0.52942,1.37317,0.72417,1.26182,0.0004754,0.0004754,0.0004754
79,228.416,0.95556,0.54122,0.98532,0.90681,0.79545,0.87214,0.51353,1.43539,0.71403,1.29685,0.0004556,0.0004556,0.0004556
80,231.366,0.92888,0.53732,0.9842,0.87977,0.88636,0.90651,0.54414,1.40056,0.68602,1.29555,0.0004358,0.0004358,0.0004358
81,234.296,0.95355,0.54102,0.99351,0.93565,0.81818,0.90601,0.53388,1.38479,0.66901,1.29519,0.000416,0.000416,0.000416
82,237.262,0.97518,0.54965,1.00066,0.89905,0.86364,0.91199,0.53247,1.39811,0.70871,1.2902,0.0003962,0.0003962,0.0003962
83,240.22,0.97813,0.54799,0.98376,0.9019,0.86364,0.92742,0.53908,1.4093,0.70585,1.31633,0.0003764,0.0003764,0.0003764
84,243.2,0.95811,0.55251,0.97702,0.92413,0.84091,0.88933,0.53069,1.40733,0.72038,1.27308,0.0003566,0.0003566,0.0003566
85,246.115,0.9376,0.52875,0.98931,0.89879,0.84091,0.87247,0.50432,1.41121,0.71395,1.29193,0.0003368,0.0003368,0.0003368
86,249.06,0.93052,0.52488,0.98829,0.87969,0.83104,0.87142,0.50871,1.39712,0.72035,1.25442,0.000317,0.000317,0.000317
87,252.076,0.91702,0.51887,0.9829,0.87914,0.8267,0.86779,0.52131,1.35793,0.70912,1.25841,0.0002972,0.0002972,0.0002972
88,255.045,0.87341,0.50287,0.96165,0.88588,0.84091,0.88586,0.522,1.39318,0.71442,1.27853,0.0002774,0.0002774,0.0002774
89,258.002,0.89819,0.52491,0.96401,0.88143,0.88636,0.90844,0.53003,1.40112,0.7024,1.30652,0.0002576,0.0002576,0.0002576
90,260.979,0.92013,0.50701,0.9709,0.90233,0.84091,0.88452,0.5291,1.40041,0.69731,1.30954,0.0002378,0.0002378,0.0002378
91,315.019,0.94575,0.57373,1.01537,0.92339,0.82192,0.88335,0.51446,1.47119,0.7261,1.35542,0.000218,0.000218,0.000218
92,317.841,0.9577,0.52447,1.00028,0.90616,0.84091,0.88229,0.5172,1.42167,0.69997,1.32717,0.0001982,0.0001982,0.0001982
93,320.634,0.90498,0.51998,1.00423,0.90608,0.87715,0.90151,0.52528,1.38422,0.68027,1.29378,0.0001784,0.0001784,0.0001784
94,323.449,0.91287,0.49825,1.00045,0.89766,0.86364,0.89772,0.51611,1.38688,0.68747,1.29038,0.0001586,0.0001586,0.0001586
95,326.23,0.92474,0.50129,1.01286,0.86508,0.87447,0.89494,0.51447,1.41682,0.69713,1.30771,0.0001388,0.0001388,0.0001388
96,329.043,0.87781,0.48925,0.98307,0.85512,0.86364,0.89125,0.51367,1.41754,0.71788,1.30942,0.000119,0.000119,0.000119
97,331.817,0.89962,0.47221,0.97509,0.94674,0.80821,0.89455,0.52079,1.39209,0.69867,1.29919,9.92e-05,9.92e-05,9.92e-05
98,334.65,0.88741,0.48772,0.96488,0.92034,0.78787,0.8727,0.52496,1.37899,0.68973,1.28167,7.94e-05,7.94e-05,7.94e-05
99,337.447,0.90436,0.48233,0.98145,0.92038,0.78832,0.87341,0.52396,1.38223,0.6872,1.28353,5.96e-05,5.96e-05,5.96e-05
100,340.325,0.90751,0.47815,0.9858,0.9469,0.81065,0.89407,0.52714,1.37915,0.68825,1.28051,3.98e-05,3.98e-05,3.98e-05
