epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.677,1.73009,3.55693,1.37297,0.0029,0.79545,0.02979,0.01017,1.4925,3.56378,1.10848,0.0002,0.0002,0.0002
2,8.14696,1.40836,2.30041,1.11887,0.00316,0.86364,0.34621,0.1403,1.59695,3.43446,1.12739,0.000415842,0.000415842,0.000415842
3,11.5921,1.48366,1.4821,1.12138,0.00365,1,0.05985,0.0165,1.46336,3.41597,1.06876,0.000627328,0.000627328,0.000627328
4,15.1688,1.45503,1.37088,1.1634,0.00327,0.90909,0.00959,0.00432,1.56555,3.50314,1.34413,0.000834458,0.000834458,0.000834458
5,18.5738,1.46538,1.3412,1.17307,0.00364,0.95455,0.04087,0.01814,1.5698,3.32408,1.28261,0.00103723,0.00103723,0.00103723
6,22.3592,1.42886,1.26842,1.19444,0.62209,0.06818,0.10871,0.06188,1.60695,3.26521,1.30975,0.00123565,0.00123565,0.00123565
7,26.0593,1.4193,1.20677,1.15343,0.72545,0.25,0.44318,0.1879,1.71727,2.82271,1.35862,0.00142971,0.00142971,0.00142971
8,29.4011,1.3972,1.18239,1.15433,0.6335,0.35378,0.4221,0.17355,1.74022,2.48223,1.41135,0.00161942,0.00161942,0.00161942
9,32.7438,1.49305,1.19178,1.22068,0.52016,0.04545,0.0513,0.01806,2.08888,3.5762,1.69569,0.00180477,0.00180477,0.00180477
10,36.0986,1.46007,1.16499,1.19636,0.55272,0.47727,0.48524,0.23548,1.84331,2.22526,1.50875,0.0018218,0.0018218,0.0018218
11,39.9134,1.47093,1.13766,1.22863,0.81176,0.58814,0.58364,0.25197,1.85476,2.05547,1.61398,0.001802,0.001802,0.001802
12,43.3369,1.47529,1.13693,1.22189,0.24443,0.15909,0.13902,0.06845,1.98884,3.66883,2.1433,0.0017822,0.0017822,0.0017822
13,46.7456,1.40038,1.0798,1.17466,0.70739,0.45455,0.60226,0.31363,1.62026,2.1918,1.47951,0.0017624,0.0017624,0.0017624
14,50.1297,1.43568,1.08217,1.20019,0.85422,0.70455,0.78975,0.39485,1.61825,2.10875,1.50182,0.0017426,0.0017426,0.0017426
15,53.9687,1.37478,1.0309,1.1862,0.75389,0.76592,0.82055,0.38064,1.68711,1.95698,1.56347,0.0017228,0.0017228,0.0017228
16,57.3936,1.43827,1.02361,1.20483,0.85469,0.8022,0.86944,0.4296,1.59042,1.75351,1.37811,0.001703,0.001703,0.001703
17,60.7826,1.45591,0.99501,1.20963,0.89591,0.78264,0.90356,0.42015,1.60598,2.2085,1.46112,0.0016832,0.0016832,0.0016832
18,64.2281,1.41566,0.97126,1.17877,0.84083,0.77273,0.83397,0.41164,1.62489,1.37777,1.36451,0.0016634,0.0016634,0.0016634
19,68.5138,1.33896,0.9182,1.13133,0.89479,0.77319,0.85606,0.41182,1.60838,1.39783,1.36905,0.0016436,0.0016436,0.0016436
20,72.0253,1.29429,0.87049,1.11976,0.85596,0.79545,0.81791,0.44141,1.63131,1.07284,1.37792,0.0016238,0.0016238,0.0016238
21,75.381,1.33321,0.88604,1.15208,0.87731,0.81271,0.84674,0.46452,1.53265,1.09872,1.36386,0.001604,0.001604,0.001604
22,78.8565,1.30587,0.8657,1.15995,0.83567,0.80916,0.843,0.3792,1.64247,1.16303,1.36979,0.0015842,0.0015842,0.0015842
23,82.7915,1.3018,0.86048,1.14056,0.81584,0.84091,0.81438,0.40201,1.57779,1.02618,1.3558,0.0015644,0.0015644,0.0015644
24,86.2647,1.3818,0.88162,1.16007,0.87616,0.80411,0.82522,0.44966,1.54876,1.20314,1.39395,0.0015446,0.0015446,0.0015446
25,89.7403,1.30051,0.84996,1.14558,0.83865,0.84091,0.87406,0.46558,1.48251,1.37875,1.31863,0.0015248,0.0015248,0.0015248
26,93.2861,1.24532,0.81604,1.11475,0.90315,0.79545,0.85032,0.4508,1.59401,0.97084,1.35178,0.001505,0.001505,0.001505
27,96.7501,1.23394,0.79136,1.10778,0.89868,0.81818,0.8386,0.47469,1.53704,0.97523,1.32229,0.0014852,0.0014852,0.0014852
28,100.829,1.27736,0.81326,1.10609,0.75639,0.86364,0.76126,0.39639,1.61606,1.08076,1.34083,0.0014654,0.0014654,0.0014654
29,104.25,1.25911,0.79598,1.13173,0.89608,0.86364,0.87936,0.48257,1.49973,0.91055,1.28916,0.0014456,0.0014456,0.0014456
30,107.69,1.24893,0.79048,1.13309,0.86061,0.84091,0.81942,0.44403,1.50988,0.92156,1.33912,0.0014258,0.0014258,0.0014258
31,111.154,1.23154,0.77434,1.10208,0.78972,0.86364,0.83514,0.42864,1.60296,0.84992,1.35303,0.001406,0.001406,0.001406
32,115.139,1.27237,0.76286,1.1063,0.82608,0.81818,0.83728,0.4718,1.50551,0.91655,1.24334,0.0013862,0.0013862,0.0013862
33,118.525,1.23366,0.77219,1.10112,0.85036,0.79545,0.86702,0.48051,1.51225,0.89797,1.25466,0.0013664,0.0013664,0.0013664
34,122.02,1.20754,0.75307,1.09803,0.81754,0.81472,0.81018,0.44656,1.5569,1.45824,1.34386,0.0013466,0.0013466,0.0013466
35,125.487,1.23471,0.75721,1.10576,0.87418,0.77273,0.82678,0.42925,1.61028,0.94782,1.40468,0.0013268,0.0013268,0.0013268
36,130.154,1.28869,0.77922,1.10589,0.84881,0.89328,0.8956,0.51401,1.50762,0.85204,1.32998,0.001307,0.001307,0.001307
37,133.773,1.21661,0.7275,1.08413,0.8135,0.90909,0.87453,0.48943,1.46437,0.96427,1.3066,0.0012872,0.0012872,0.0012872
38,137.314,1.2295,0.73234,1.09695,0.86084,0.90909,0.89543,0.49302,1.46347,0.86644,1.25445,0.0012674,0.0012674,0.0012674
39,140.837,1.20292,0.71523,1.10402,0.88889,0.90909,0.90786,0.48174,1.45868,0.90662,1.2743,0.0012476,0.0012476,0.0012476
40,145.361,1.18357,0.70918,1.08999,0.92827,0.90909,0.93081,0.50793,1.456,0.8251,1.30779,0.0012278,0.0012278,0.0012278
41,148.845,1.13313,0.68218,1.04803,0.86909,0.90909,0.93102,0.50127,1.5232,0.83253,1.29847,0.001208,0.001208,0.001208
42,152.347,1.15946,0.68912,1.08788,0.90535,0.86972,0.91752,0.47181,1.64774,0.83783,1.3732,0.0011882,0.0011882,0.0011882
43,155.805,1.13563,0.6871,1.06412,0.92834,0.88332,0.89267,0.49595,1.51352,0.82696,1.31962,0.0011684,0.0011684,0.0011684
44,159.947,1.18932,0.70571,1.10142,0.87551,0.90909,0.91707,0.48038,1.50181,0.79111,1.27237,0.0011486,0.0011486,0.0011486
45,163.418,1.16107,0.68189,1.08842,0.90144,0.84091,0.90493,0.48283,1.50069,0.84427,1.28824,0.0011288,0.0011288,0.0011288
46,166.985,1.14064,0.67068,1.05362,0.83454,0.90909,0.90863,0.47254,1.48506,0.83387,1.30267,0.001109,0.001109,0.001109
47,170.427,1.09933,0.67331,1.05311,0.93045,0.93182,0.93891,0.50619,1.44825,0.76326,1.28278,0.0010892,0.0010892,0.0010892
