epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,174.57,1.12489,0.6815,1.04904,0.88548,0.87878,0.87858,0.51095,1.47915,0.76657,1.25279,0.0010694,0.0010694,0.0010694
49,178.159,1.15579,0.67811,1.08062,0.90468,0.88636,0.87876,0.48647,1.45405,0.8052,1.23842,0.0010496,0.0010496,0.0010496
50,181.704,1.12095,0.67911,1.05057,0.88599,0.88636,0.88443,0.49438,1.5366,0.76282,1.30626,0.0010298,0.0010298,0.0010298
51,185.146,1.10055,0.65909,1.05736,0.88878,0.90812,0.90205,0.51882,1.42495,0.74724,1.22744,0.00101,0.00101,0.00101
52,189.409,1.11254,0.63784,1.05474,0.92795,0.87832,0.89904,0.52891,1.398,0.74258,1.26785,0.0009902,0.0009902,0.0009902
53,192.963,1.13413,0.63667,1.05575,0.95196,0.86364,0.91828,0.53435,1.35063,0.74413,1.25494,0.0009704,0.0009704,0.0009704
54,196.565,1.11618,0.66532,1.05876,0.94416,0.86364,0.92015,0.50479,1.49115,0.79918,1.31078,0.0009506,0.0009506,0.0009506
55,200.135,1.11826,0.65339,1.03818,0.9068,0.88451,0.90522,0.51168,1.46016,0.78735,1.26247,0.0009308,0.0009308,0.0009308
56,204.304,1.06215,0.61727,1.05567,0.87661,0.86364,0.89666,0.48901,1.49526,0.76957,1.29642,0.000911,0.000911,0.000911
57,207.891,1.10147,0.63397,1.0593,0.90259,0.88636,0.91389,0.53255,1.36789,0.78245,1.2196,0.0008912,0.0008912,0.0008912
58,211.445,1.09865,0.65041,1.05412,0.88663,0.88636,0.90729,0.48594,1.43313,0.81258,1.28368,0.0008714,0.0008714,0.0008714
59,215.012,1.0571,0.61436,1.04284,0.85232,0.91827,0.90219,0.49442,1.42676,0.78235,1.23388,0.0008516,0.0008516,0.0008516
60,219.692,1.09805,0.63365,1.07206,0.92331,0.93182,0.90826,0.50649,1.40434,0.84033,1.24413,0.0008318,0.0008318,0.0008318
61,223.178,1.05022,0.62783,1.03271,0.87748,0.84091,0.87697,0.5156,1.40834,0.79315,1.24099,0.000812,0.000812,0.000812
62,226.826,1.04519,0.62594,1.00733,0.8926,0.86364,0.87335,0.50676,1.47531,0.81918,1.25627,0.0007922,0.0007922,0.0007922
63,230.38,0.99058,0.61646,1.00286,0.9025,0.84148,0.8677,0.47553,1.56765,0.81967,1.31596,0.0007724,0.0007724,0.0007724
64,234.531,1.02793,0.60978,1.02444,0.84159,0.84532,0.87027,0.49602,1.40883,0.79172,1.27337,0.0007526,0.0007526,0.0007526
65,238.137,1.05304,0.59909,1.01696,0.90094,0.86364,0.8962,0.49318,1.42954,0.79965,1.27157,0.0007328,0.0007328,0.0007328
66,241.788,1.03857,0.59139,1.01799,0.93342,0.84091,0.88843,0.50153,1.41197,0.74796,1.24421,0.000713,0.000713,0.000713
67,245.407,1.05524,0.59591,1.0169,0.92566,0.84905,0.88739,0.5125,1.38605,0.74351,1.23504,0.0006932,0.0006932,0.0006932
68,249.601,1.04899,0.59455,1.03154,0.88873,0.90766,0.91616,0.54001,1.39479,0.71502,1.25939,0.0006734,0.0006734,0.0006734
69,253.279,0.99566,0.56916,0.99765,0.88652,0.90909,0.90831,0.52851,1.39825,0.72235,1.26699,0.0006536,0.0006536,0.0006536
70,256.928,1.00097,0.58571,1.02698,0.85843,0.88636,0.87742,0.50903,1.41193,0.745,1.26369,0.0006338,0.0006338,0.0006338
71,260.471,1.01591,0.60849,1.01524,0.86556,0.87804,0.84804,0.49871,1.44516,0.75702,1.29583,0.000614,0.000614,0.000614
72,264.674,0.99924,0.58926,0.97989,0.88699,0.89199,0.89073,0.51854,1.43274,0.81262,1.27993,0.0005942,0.0005942,0.0005942
73,268.42,0.99035,0.56606,1.02392,0.92966,0.90129,0.89584,0.50928,1.40538,0.74959,1.25723,0.0005744,0.0005744,0.0005744
74,272.097,0.97169,0.58197,0.99742,0.95112,0.88448,0.8758,0.5077,1.43487,0.74986,1.27994,0.0005546,0.0005546,0.0005546
75,275.65,0.97357,0.56325,0.9916,0.9144,0.84091,0.89005,0.52359,1.40194,0.76423,1.25884,0.0005348,0.0005348,0.0005348
76,279.87,1.02478,0.59837,1.01394,0.86557,0.87815,0.89263,0.52262,1.35081,0.72077,1.23221,0.000515,0.000515,0.000515
77,283.513,0.99603,0.56569,1.00489,0.90478,0.86364,0.88886,0.51515,1.4104,0.74787,1.24131,0.0004952,0.0004952,0.0004952
78,287.157,0.95617,0.54612,0.98354,0.88853,0.86364,0.88982,0.49768,1.40794,0.75691,1.24866,0.0004754,0.0004754,0.0004754
79,290.772,0.9555,0.55644,0.97893,0.87867,0.86364,0.85735,0.48698,1.41019,0.76569,1.26076,0.0004556,0.0004556,0.0004556
80,295.578,0.96754,0.5507,0.99822,0.84642,0.87693,0.85275,0.47868,1.43925,0.74607,1.30044,0.0004358,0.0004358,0.0004358
81,299.191,0.98968,0.54103,1.00553,0.86079,0.81818,0.82562,0.4703,1.40143,0.79212,1.28872,0.000416,0.000416,0.000416
82,302.873,0.9714,0.55194,1.01122,0.88605,0.84091,0.8741,0.49864,1.41578,0.79261,1.26999,0.0003962,0.0003962,0.0003962
83,306.473,0.95804,0.54368,0.99018,0.89682,0.79026,0.84465,0.50164,1.41095,0.7817,1.26489,0.0003764,0.0003764,0.0003764
84,310.809,0.93536,0.54921,0.96959,0.8711,0.92168,0.91264,0.51801,1.36147,0.73259,1.22596,0.0003566,0.0003566,0.0003566
85,314.337,0.92677,0.52867,0.98017,0.8641,0.88636,0.87342,0.53999,1.3565,0.77389,1.23335,0.0003368,0.0003368,0.0003368
86,318.088,0.94701,0.54993,0.99914,0.86879,0.90303,0.90553,0.53318,1.36854,0.74031,1.20223,0.000317,0.000317,0.000317
87,321.726,0.93984,0.54114,0.99391,0.88393,0.86547,0.90911,0.54178,1.35288,0.72862,1.20232,0.0002972,0.0002972,0.0002972
88,326.057,0.91634,0.53089,0.97362,0.9162,0.86364,0.894,0.54435,1.34772,0.72675,1.23087,0.0002774,0.0002774,0.0002774
89,329.586,0.92513,0.52322,0.96934,0.90406,0.85673,0.87684,0.52822,1.37105,0.73285,1.24589,0.0002576,0.0002576,0.0002576
90,333.291,0.9207,0.53097,0.98386,0.88171,0.88636,0.88972,0.52171,1.3989,0.74055,1.23525,0.0002378,0.0002378,0.0002378
91,400.789,0.95895,0.57731,1.00079,0.85998,0.88636,0.8663,0.49371,1.42314,0.75102,1.25299,0.000218,0.000218,0.000218
92,404.14,0.96952,0.52237,1.00857,0.85922,0.83238,0.83664,0.5046,1.41977,0.75345,1.25781,0.0001982,0.0001982,0.0001982
93,407.421,0.95206,0.53601,1.01669,0.85513,0.84091,0.83926,0.51729,1.38104,0.74474,1.2488,0.0001784,0.0001784,0.0001784
94,410.768,0.9372,0.50803,1.01531,0.88012,0.83439,0.83675,0.52041,1.36881,0.74897,1.23213,0.0001586,0.0001586,0.0001586
95,415.408,0.91251,0.5007,1.01552,0.8506,0.90585,0.88151,0.52201,1.40103,0.75843,1.25113,0.0001388,0.0001388,0.0001388
96,418.863,0.88971,0.48842,0.98208,0.86859,0.90148,0.91302,0.51735,1.41574,0.7371,1.25824,0.000119,0.000119,0.000119
97,422.161,0.92311,0.48121,0.98534,0.83315,0.93182,0.91262,0.52143,1.40794,0.71851,1.24313,9.92e-05,9.92e-05,9.92e-05
98,425.538,0.89344,0.49157,0.97308,0.83155,0.93182,0.9095,0.51306,1.39315,0.7128,1.23803,7.94e-05,7.94e-05,7.94e-05
99,429.43,0.92133,0.49331,1.00144,0.835,0.93182,0.91238,0.51994,1.38741,0.70826,1.23677,5.96e-05,5.96e-05,5.96e-05
100,433.027,0.90175,0.49067,0.98602,0.86845,0.90039,0.91315,0.52299,1.38814,0.70901,1.244,3.98e-05,3.98e-05,3.98e-05
